request,time
0,13369
1,7264
2,6495
3,6428
4,6356
5,11864
6,7142
7,8023
8,7561
9,7117
10,8077
11,8221
12,7706
13,7564
14,7390
15,8423
16,7404
17,6984
18,7160
19,10229
20,6500
21,22694
22,9938
23,6786
24,7262
25,8737
26,7544
27,7374
28,7112
29,7093
30,9715
31,20457
32,7738
33,35220
34,25508
35,9593
36,9829
37,7068
38,30060
39,12387
40,10849
41,8278
42,9314
43,12941
44,7800
45,9396
46,9732
47,8878
48,9451
49,8827
50,8661
51,14475
52,7249
53,8441
54,20032
55,8243
56,7356
57,7926
58,8146
59,15838
60,8977
61,20042
62,9753
63,8105
64,9295
65,6875
66,8162
67,8342
68,8210
69,7970
70,7330
71,7757
72,7312
73,8546
74,7351
75,7964
76,9267
77,9413
78,7695
79,9049
80,37352
81,13584
82,7711
83,7224
84,8698
85,8902
86,8567
87,8767
88,8850
89,13665
90,8929
91,8032
92,10872
93,7624
94,8023
95,8630
96,8039
97,8098
98,7125
99,7652
100,17807
101,11340
102,7952
103,24472
104,8108
105,9457
106,6396
107,12737
108,13267
109,7456
110,37831
111,7718
112,6925
113,8980
114,7058
115,7830
116,14428
117,7750
118,9499
119,7627
120,7903
121,9935
122,13597
123,9400
124,10552
125,7442
126,7804
127,6998
128,14119
129,15353
130,8773
131,20512
132,6680
133,8599
134,7349
135,7314
136,7733
137,13184
138,11956
139,7458
140,7292
141,7614
142,8046
143,17230
144,9038
145,8799
146,7657
147,8018
148,7925
149,7166
150,7614
151,7784
152,7769
153,8365
154,7198
155,14687
156,16868
157,6816
158,16574
159,6917
160,6491
161,7855
162,6782
163,7741
164,6689
165,7909
166,7089
167,6841
168,9361
169,7047
170,9417
171,6709
172,7500
173,7316
174,8899
175,6857
176,7079
177,10682
178,6857
179,17058
180,12664
181,6414
182,8724
183,7649
184,10551
185,6771
186,7186
187,6262
188,8003
189,6584
190,7225
191,6628
192,6900
193,6651
194,12287
195,12967
196,6836
197,6841
198,6594
199,17260
200,6553
201,7399
202,7031
203,6999
204,6438
205,7734
206,6653
207,7796
208,7207
209,7406
210,8635
211,6861
212,8230
213,7444
214,6841
215,6616
216,8558
217,9364
218,6672
219,6831
220,6723
221,6474
222,6787
223,6524
224,7301
225,7056
226,7980
227,6555
228,6249
229,7096
230,6732
231,10562
232,6900
233,6721
234,7037
235,6576
236,6891
237,7142
238,6956
239,7079
240,7421
241,6812
242,6776
243,7093
244,7375
245,13538
246,12339
247,7347
248,7214
249,6595
250,6730
251,6845
252,7717
253,7344
254,6407
255,6494
256,6657
257,6695
258,7012
259,8326
260,6918
261,10802
262,6464
263,6644
264,8986
265,7199
266,7382
267,8931
268,6937
269,7363
270,6894
271,6078
272,9029
273,12937
274,11963
275,13806
276,7371
277,7137
278,7134
279,6729
280,13358
281,14281
282,6371
283,6742
284,7038
285,7222
286,6609
287,6909
288,6582
289,6544
290,7323
291,6410
292,6348
293,6677
294,12765
295,8849
296,10890
297,8607
298,6359
299,6245
300,7393
301,6423
302,14738
303,6448
304,8178
305,6854
306,9888
307,6640
308,6787
309,6520
310,6758
311,8071
312,6721
313,12844
314,6306
315,7420
316,6839
317,6728
318,6743
319,7127
320,6458
321,6848
322,14145
323,8013
324,7767
325,6725
326,6524
327,6854
328,6633
329,7109
330,6866
331,7075
332,6553
333,8027
334,7876
335,6955
336,6706
337,8821
338,7795
339,7323
340,7438
341,6374
342,7225
343,8106
344,6778
345,8361
346,6754
347,8013
348,6230
349,6372
350,6044
351,6418
352,6500
353,6244
354,7397
355,6752
356,6381
357,6121
358,6698
359,7720
360,7140
361,7645
362,10908
363,6559
364,9607
365,6760
366,6216
367,6333
368,6059
369,6236
370,7665
371,6082
372,6296
373,6501
374,6574
375,6278
376,6638
377,7457
378,6036
379,6522
380,6778
381,6469
382,6040
383,7073
384,6689
385,6158
386,6323
387,6182
388,6866
389,6416
390,6393
391,6058
392,6796
393,7473
394,7036
395,6795
396,6296
397,6123
398,6629
399,6970
400,8662
401,6543
402,6368
403,6721
404,7132
405,6078
406,6043
407,6089
408,6442
409,7257
410,6383
411,6237
412,6761
413,5929
414,6474
415,6383
416,6365
417,7162
418,6186
419,6357
420,6836
421,6367
422,6778
423,6261
424,6848
425,6296
426,6259
427,7038
428,6463
429,6637
430,6747
431,6344
432,6361
433,5981
434,8066
435,6575
436,6261
437,5939
438,6697
439,6801
440,6248
441,6200
442,6263
443,6582
444,6477
445,6019
446,6646
447,6537
448,6087
449,6023
450,5885
451,6445
452,6422
453,6133
454,6212
455,6480
456,5981
457,6301
458,6086
459,6438
460,6395
461,6435
462,6231
463,7639
464,6137
465,6606
466,6301
467,5935
468,5987
469,6228
470,6129
471,6377
472,6151
473,7161
474,6064
475,6165
476,6336
477,6342
478,5919
479,5785
480,6204
481,6190
482,5983
483,6363
484,6466
485,6241
486,6262
487,6274
488,6355
489,6644
490,5951
491,6340
492,5945
493,6224
494,6497
495,6290
496,6066
497,6133
498,6545
499,5866
500,6726
501,6298
502,6291
503,8098
504,6633
505,6515
506,6011
507,5857
508,6281
509,6341
510,6313
511,6431
512,6096
513,6614
514,6331
515,6161
516,6293
517,5961
518,6093
519,6484
520,6135
521,5862
522,6199
523,6165
524,6610
525,6720
526,7920
527,6257
528,6561
529,6371
530,6095
531,6120
532,6789
533,6556
534,6165
535,6899
536,9206
537,9469
538,12077
539,5571
540,6066
541,5789
542,6021
543,5913
544,5980
545,6301
546,6459
547,6696
548,7127
549,7079
550,6249
551,6518
552,6329
553,6326
554,6461
555,6238
556,6312
557,6610
558,6592
559,7445
560,6058
561,5867
562,5984
563,6823
564,5838
565,6451
566,6175
567,5984
568,7071
569,6765
570,6462
571,6374
572,6716
573,6202
574,6172
575,6298
576,8129
577,6141
578,6414
579,5999
580,5449
581,5887
582,6011
583,6039
584,6026
585,6526
586,6352
587,18244
588,6219
589,5943
590,6142
591,7009
592,6110
593,5770
594,6581
595,5843
596,6291
597,7133
598,5551
599,6208
600,5682
601,7029
602,5858
603,6442
604,5688
605,5958
606,6168
607,6450
608,5693
609,5781
610,5919
611,6200
612,6495
613,6092
614,5899
615,5972
616,11907
617,6184
618,6460
619,7023
620,6150
621,6281
622,5976
623,6336
624,7599
625,6204
626,6146
627,5754
628,6283
629,6605
630,11399
631,6017
632,5766
