request,time
0,185.0
1,145.0
2,165.0
3,164.0
4,156.0
5,174.0
6,151.0
7,158.0
8,158.0
9,149.0
10,151.0
11,155.0
12,151.0
13,149.0
14,152.0
15,169.0
16,159.0
17,151.0
18,144.0
19,140.0
20,138.0
21,138.0
22,137.0
23,152.0
24,139.0
25,140.0
26,139.0
27,142.0
28,139.0
29,146.0
30,138.0
31,143.0
32,137.0
33,142.0
34,141.0
35,147.0
36,148.0
37,140.0
38,142.0
39,147.0
40,140.0
41,143.0
42,138.0
43,144.0
44,141.0
45,143.0
46,137.0
47,135.0
48,138.0
49,150.0
50,141.0
51,137.0
52,140.0
53,140.0
54,150.0
55,136.0
56,137.0
57,134.0
58,135.0
59,137.0
60,142.0
61,147.0
62,149.0
63,139.0
64,148.0
65,143.0
66,136.0
67,142.0
68,136.0
69,140.0
70,2000.0
71,152.0
72,154.0
73,149.0
74,150.0
75,153.0
76,149.0
77,149.0
78,171.0
79,156.0
80,149.0
81,149.0
82,156.0
83,154.0
84,150.0
85,151.0
86,149.0
87,155.0
88,156.0
89,150.0
90,150.0
91,153.0
92,156.0
93,153.0
94,167.0
95,157.0
96,149.0
97,136.0
98,140.0
99,133.0
100,129.0
101,130.0
102,128.0
103,129.0
104,129.0
105,146.0
106,129.0
107,131.0
108,127.0
109,125.0
110,141.0
111,135.0
112,139.0
113,136.0
114,139.0
115,131.0
116,130.0
117,133.0
118,139.0
119,230.0
120,109.0
121,105.0
122,106.0
123,100.0
124,106.0
125,110.0
126,101.0
127,103.0
128,104.0
129,140.0
130,106.0
131,140.0
132,108.0
133,111.0
134,117.0
135,110.0
136,110.0
137,117.0
138,105.0
139,99.0
140,107.0
141,102.0
142,107.0
143,103.0
144,148.0
145,107.0
146,104.0
147,111.0
148,7760.0
149,1879.0
150,113.0
151,111.0
152,112.0
153,117.0
154,105.0
155,109.0
156,109.0
157,110.0
158,109.0
159,239.0
160,110.0
161,107.0
162,114.0
163,1164.0
164,98.0
165,100.0
166,105.0
167,100.0
168,94.0
169,96.0
170,94.0
171,97.0
172,97.0
173,668.0
174,106.0
175,96.0
176,96.0
177,129.0
178,92.0
179,97.0
180,96.0
181,90.0
182,97.0
