request,time
0,140.0
1,122.0
2,141.0
3,133.0
4,132.0
5,325.0
6,132.0
7,139.0
8,137.0
9,130.0
10,133.0
11,133.0
12,131.0
13,129.0
14,131.0
15,128.0
16,131.0
17,132.0
18,119.0
19,119.0
20,120.0
21,119.0
22,118.0
23,119.0
24,118.0
25,122.0
26,120.0
27,119.0
28,121.0
29,128.0
30,122.0
31,119.0
32,121.0
33,117.0
34,119.0
35,126.0
36,125.0
37,133.0
38,121.0
39,124.0
40,149.0
41,124.0
42,120.0
43,119.0
44,124.0
45,129.0
46,121.0
47,120.0
48,120.0
49,121.0
50,119.0
51,118.0
52,119.0
53,122.0
54,118.0
55,120.0
56,118.0
57,118.0
58,117.0
59,120.0
60,119.0
61,119.0
62,125.0
63,118.0
64,121.0
65,118.0
66,162.0
67,118.0
68,119.0
69,116.0
70,1730.0
71,134.0
72,134.0
73,132.0
74,132.0
75,131.0
76,134.0
77,132.0
78,141.0
79,137.0
80,136.0
81,134.0
82,134.0
83,138.0
84,136.0
85,133.0
86,139.0
87,135.0
88,143.0
89,132.0
90,135.0
91,137.0
92,137.0
93,132.0
94,213.0
95,136.0
96,135.0
97,113.0
98,115.0
99,112.0
100,111.0
101,111.0
102,116.0
103,110.0
104,109.0
105,108.0
106,110.0
107,115.0
108,112.0
109,110.0
110,111.0
111,110.0
112,120.0
113,130.0
114,115.0
115,112.0
116,112.0
117,114.0
118,117.0
119,232.0
120,90.0
121,85.0
122,85.0
123,83.0
124,125.0
125,87.0
126,83.0
127,83.0
128,87.0
129,103.0
130,88.0
131,91.0
132,87.0
133,95.0
134,99.0
135,86.0
136,85.0
137,86.0
138,87.0
139,86.0
140,88.0
141,87.0
142,87.0
143,97.0
144,2107.0
145,136.0
146,94.0
147,91.0
148,95.0
149,90.0
150,90.0
151,91.0
152,97.0
153,89.0
154,89.0
155,90.0
156,90.0
157,87.0
158,88.0
159,86.0
160,88.0
161,95.0
162,93.0
163,979.0
164,79.0
165,82.0
166,77.0
167,75.0
168,76.0
169,75.0
170,77.0
171,418.0
172,77.0
173,74.0
174,73.0
175,76.0
176,73.0
177,83.0
178,74.0
179,74.0
180,75.0
181,72.0
182,71.0
183,72.0
184,68.0
185,67.0
186,66.0
187,69.0
188,66.0
189,68.0
190,66.0
191,67.0
192,70.0
193,66.0
194,67.0
195,66.0
196,65.0
197,66.0
