request,time
0,149.0
1,124.0
2,149.0
3,136.0
4,136.0
5,329.0
6,138.0
7,138.0
8,138.0
9,133.0
10,135.0
11,134.0
12,131.0
13,132.0
14,132.0
15,137.0
16,135.0
17,131.0
18,120.0
19,125.0
20,122.0
21,120.0
22,122.0
23,124.0
24,121.0
25,126.0
26,127.0
27,123.0
28,121.0
29,129.0
30,124.0
31,121.0
32,121.0
33,126.0
34,120.0
35,137.0
36,129.0
37,135.0
38,122.0
39,124.0
40,124.0
41,186.0
42,124.0
43,129.0
44,124.0
45,126.0
46,127.0
47,130.0
48,124.0
49,126.0
50,125.0
51,125.0
52,121.0
53,121.0
54,283.0
55,122.0
56,120.0
57,126.0
58,122.0
59,121.0
60,120.0
61,121.0
62,127.0
63,120.0
64,121.0
65,120.0
66,122.0
67,121.0
68,120.0
69,121.0
70,2034.0
71,139.0
72,137.0
73,136.0
74,138.0
75,143.0
76,141.0
77,135.0
78,152.0
79,144.0
80,138.0
81,147.0
82,140.0
83,139.0
84,137.0
85,140.0
86,140.0
87,142.0
88,138.0
89,136.0
90,138.0
91,137.0
92,135.0
93,137.0
94,147.0
95,137.0
96,141.0
97,119.0
98,128.0
99,115.0
100,114.0
101,115.0
102,113.0
103,127.0
104,120.0
105,122.0
106,117.0
107,114.0
108,113.0
109,118.0
110,116.0
111,117.0
112,131.0
113,124.0
114,127.0
115,124.0
116,136.0
117,120.0
118,122.0
119,245.0
120,91.0
121,87.0
122,89.0
123,114.0
124,94.0
125,85.0
126,91.0
127,87.0
128,90.0
129,115.0
130,101.0
131,135.0
132,97.0
133,101.0
134,94.0
135,100.0
136,97.0
137,93.0
138,167.0
139,102.0
140,91.0
141,97.0
142,110.0
143,101.0
144,111.0
145,89.0
146,95.0
147,92.0
148,95.0
149,97.0
150,109.0
151,97.0
152,90.0
153,92.0
154,87.0
155,86.0
156,87.0
157,92.0
158,90.0
159,88.0
160,99.0
161,89.0
162,97.0
163,1041.0
164,79.0
165,83.0
166,81.0
167,81.0
168,83.0
169,80.0
170,76.0
171,76.0
172,83.0
173,77.0
174,75.0
175,77.0
176,80.0
177,110.0
178,77.0
179,74.0
180,79.0
181,78.0
182,76.0
183,75.0
184,76.0
185,69.0
186,68.0
187,77.0
188,74.0
189,70.0
190,70.0
191,71.0
192,72.0
193,70.0
194,69.0
195,69.0
196,73.0
197,79.0
198,70.0
199,68.0
200,74.0
201,75.0
202,67.0
203,68.0
204,68.0
205,72.0
206,68.0
207,66.0
208,67.0
209,65.0
210,69.0
211,67.0
212,65.0
213,63.0
214,74.0
215,67.0
216,73.0
217,72.0
218,69.0
219,67.0
220,70.0
221,68.0
222,67.0
223,70.0
224,71.0
225,69.0
226,76.0
227,68.0
228,71.0
229,69.0
230,69.0
231,72.0
232,68.0
233,68.0
234,68.0
235,69.0
236,70.0
237,69.0
238,69.0
239,69.0
240,72.0
241,74.0
242,74.0
243,73.0
244,73.0
245,71.0
246,69.0
247,70.0
248,72.0
249,71.0
250,70.0
251,68.0
252,70.0
253,67.0
254,66.0
255,68.0
256,69.0
257,74.0
258,68.0
259,70.0
260,69.0
261,68.0
262,69.0
263,78.0
264,71.0
265,71.0
266,70.0
267,70.0
268,70.0
269,118.0
270,45.0
271,47.0
272,50.0
273,42.0
274,63.0
275,43.0
276,44.0
277,42.0
278,56.0
279,45.0
280,43.0
281,47.0
282,42.0
283,46.0
284,43.0
285,41.0
286,41.0
287,46.0
288,43.0
289,42.0
290,43.0
291,41.0
292,41.0
293,44.0
294,43.0
295,43.0
296,42.0
297,46.0
298,44.0
299,46.0
300,48.0
301,42.0
302,42.0
303,43.0
304,45.0
305,43.0
306,44.0
307,42.0
308,43.0
309,43.0
310,41.0
311,43.0
312,44.0
313,44.0
314,45.0
315,45.0
316,44.0
317,51.0
318,44.0
319,45.0
320,41.0
321,45.0
322,44.0
323,44.0
324,43.0
325,42.0
326,43.0
327,46.0
328,47.0
329,45.0
330,43.0
331,48.0
332,48.0
333,42.0
334,43.0
335,43.0
336,43.0
337,45.0
338,44.0
339,44.0
340,41.0
341,44.0
342,43.0
343,45.0
344,43.0
345,50.0
346,44.0
347,45.0
348,42.0
349,42.0
350,45.0
351,40.0
352,44.0
353,125.0
354,41.0
355,42.0
356,42.0
357,40.0
358,41.0
359,40.0
360,40.0
361,39.0
362,45.0
363,47.0
364,40.0
365,41.0
366,39.0
367,41.0
368,42.0
369,44.0
370,43.0
371,43.0
372,44.0
373,42.0
374,52.0
375,40.0
376,37.0
377,40.0
378,44.0
379,39.0
380,39.0
381,39.0
382,39.0
383,39.0
384,51.0
385,39.0
386,40.0
387,40.0
388,44.0
389,43.0
390,40.0
391,39.0
392,40.0
393,40.0
394,41.0
395,41.0
396,43.0
397,40.0
398,44.0
399,40.0
400,40.0
401,39.0
402,41.0
403,42.0
404,42.0
405,40.0
406,46.0
407,43.0
408,41.0
409,41.0
410,41.0
411,42.0
412,39.0
413,44.0
414,42.0
415,47.0
416,42.0
417,41.0
418,43.0
419,42.0
420,41.0
421,42.0
422,41.0
423,40.0
424,44.0
425,41.0
426,42.0
427,40.0
428,40.0
429,40.0
430,51.0
431,40.0
432,41.0
433,44.0
434,41.0
435,41.0
436,43.0
437,40.0
438,40.0
439,44.0
440,40.0
441,58.0
442,47.0
443,46.0
444,45.0
445,43.0
446,42.0
447,43.0
448,42.0
449,40.0
450,39.0
451,40.0
452,40.0
453,45.0
454,43.0
455,40.0
456,41.0
457,151.0
458,50.0
459,46.0
460,44.0
461,47.0
462,48.0
463,44.0
464,45.0
465,49.0
466,46.0
467,46.0
468,45.0
469,55.0
470,44.0
471,46.0
472,43.0
473,41.0
474,50.0
475,46.0
476,43.0
477,44.0
478,46.0
479,45.0
480,43.0
481,44.0
482,42.0
483,47.0
484,43.0
485,44.0
486,42.0
487,46.0
488,45.0
489,47.0
490,45.0
491,45.0
492,46.0
493,43.0
494,47.0
495,47.0
496,47.0
497,46.0
498,44.0
499,46.0
500,45.0
501,44.0
502,44.0
503,47.0
504,45.0
505,44.0
506,43.0
507,47.0
508,51.0
509,49.0
510,44.0
511,44.0
512,46.0
513,44.0
514,43.0
515,43.0
516,44.0
517,43.0
518,48.0
519,43.0
520,44.0
521,42.0
522,44.0
523,45.0
524,43.0
525,43.0
526,42.0
527,44.0
528,43.0
529,42.0
530,44.0
531,42.0
532,46.0
533,47.0
534,44.0
535,46.0
536,44.0
537,42.0
538,43.0
539,43.0
540,44.0
541,42.0
542,48.0
543,49.0
544,43.0
545,47.0
546,42.0
547,45.0
548,44.0
549,41.0
550,42.0
551,43.0
552,45.0
553,44.0
554,45.0
555,41.0
556,43.0
557,41.0
558,7291.0
559,43.0
560,50.0
561,46.0
562,41.0
563,46.0
564,41.0
565,42.0
566,44.0
567,47.0
568,44.0
569,46.0
570,43.0
571,41.0
572,46.0
573,42.0
574,42.0
575,129.0
576,44.0
577,53.0
578,42.0
579,40.0
580,46.0
581,42.0
582,41.0
583,50.0
584,48.0
585,49.0
586,46.0
587,46.0
588,50.0
589,46.0
590,44.0
591,44.0
592,45.0
593,44.0
594,46.0
595,46.0
596,42.0
597,46.0
598,50.0
599,43.0
600,45.0
601,44.0
602,45.0
603,43.0
604,46.0
605,46.0
606,44.0
607,47.0
